vocab.size = 25911
batch_acm 5599, loss 3.523, acc 0.320, nll 3.523, ppl 15.517, x_acm 223774, lr 0.000202, time 48
batch_acm 5699, loss 3.476, acc 0.326, nll 3.476, ppl 14.888, x_acm 227774, lr 0.000206, time 82
batch_acm 5799, loss 3.416, acc 0.333, nll 3.416, ppl 14.359, x_acm 231774, lr 0.000209, time 116
batch_acm 5899, loss 3.449, acc 0.332, nll 3.449, ppl 14.687, x_acm 235749, lr 0.000213, time 7
batch_acm 5999, loss 3.411, acc 0.336, nll 3.411, ppl 14.264, x_acm 239749, lr 0.000216, time 41
batch_acm 6099, loss 3.336, acc 0.345, nll 3.336, ppl 13.864, x_acm 243749, lr 0.000220, time 75
batch_acm 6199, loss 3.339, acc 0.348, nll 3.339, ppl 13.630, x_acm 247749, lr 0.000224, time 109
batch_acm 6299, loss 3.301, acc 0.354, nll 3.301, ppl 13.315, x_acm 251749, lr 0.000227, time 144
batch_acm 6399, loss 3.170, acc 0.364, nll 3.171, ppl 12.694, x_acm 255729, lr 0.000231, time 34
batch_acm 6499, loss 3.121, acc 0.371, nll 3.121, ppl 12.336, x_acm 259729, lr 0.000235, time 68
batch_acm 6599, loss 3.068, acc 0.379, nll 3.068, ppl 11.801, x_acm 263729, lr 0.000238, time 102
batch_acm 6699, loss 3.064, acc 0.380, nll 3.064, ppl 11.729, x_acm 267729, lr 0.000242, time 137
batch_acm 6799, loss 3.196, acc 0.364, nll 3.197, ppl 13.055, x_acm 271722, lr 0.000245, time 27
batch_acm 6899, loss 3.217, acc 0.362, nll 3.217, ppl 12.725, x_acm 275722, lr 0.000249, time 62
batch_acm 6999, loss 3.215, acc 0.364, nll 3.215, ppl 12.634, x_acm 279722, lr 0.000253, time 96
batch_acm 7099, loss 3.141, acc 0.374, nll 3.141, ppl 12.025, x_acm 283722, lr 0.000256, time 130
batch_acm 7199, loss 3.200, acc 0.368, nll 3.200, ppl 12.599, x_acm 287712, lr 0.000260, time 21
batch_acm 7299, loss 3.152, acc 0.374, nll 3.152, ppl 12.271, x_acm 291712, lr 0.000263, time 56
batch_acm 7399, loss 3.108, acc 0.378, nll 3.108, ppl 11.804, x_acm 295712, lr 0.000267, time 90
batch_acm 7499, loss 3.120, acc 0.380, nll 3.120, ppl 11.994, x_acm 299712, lr 0.000271, time 124
batch_acm 7599, loss 3.143, acc 0.376, nll 3.136, ppl 12.128, x_acm 303674, lr 0.000274, time 14
batch_acm 7699, loss 3.143, acc 0.380, nll 3.143, ppl 12.363, x_acm 307674, lr 0.000278, time 48
batch_acm 7799, loss 3.078, acc 0.390, nll 3.078, ppl 11.934, x_acm 311674, lr 0.000281, time 83
batch_acm 7899, loss 3.049, acc 0.396, nll 3.049, ppl 11.673, x_acm 315674, lr 0.000285, time 117
batch_acm 7999, loss 3.075, acc 0.392, nll 3.075, ppl 11.848, x_acm 319673, lr 0.000289, time 8
batch_acm 8099, loss 3.157, acc 0.384, nll 3.157, ppl 12.382, x_acm 323673, lr 0.000292, time 42
